,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-3C-AAAU-01_BRCA,order
190,KIF17,ENSG00000117245.12,hsa:57576,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,-0.0574,-0.18773497818924403
191,ECE1,ENSG00000117298.14,hsa:1889,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.7569,6.051018742437734
192,ECE1,ENSG00000117298.14,hsa:1889,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,6.7569,6.051018742437734
193,ECE1,ENSG00000117298.14,hsa:1889,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.7569,6.051018742437734
194,ECE1,ENSG00000117298.14,hsa:1889,1002,Genes and Proteins,Protein families: metabolism,Peptidases,6.7569,6.051018742437734
195,ALPL,ENSG00000162551.13,hsa:249,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.5271,2.8629231107969324
196,ALPL,ENSG00000162551.13,hsa:249,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,0.5271,2.8629231107969324
197,ALPL,ENSG00000162551.13,hsa:249,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.5271,2.8629231107969324
198,ALPL,ENSG00000162551.13,hsa:249,0537,Genes and Proteins,Protein families: signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins,0.5271,2.8629231107969324
199,RAP1GAP,ENSG00000076864.19,hsa:5909,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.2079,3.063572945630909
200,HSPG2,ENSG00000142798.16,hsa:3339,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.3183,5.645479125664468
201,HSPG2,ENSG00000142798.16,hsa:3339,0535,Genes and Proteins,Protein families: signaling and cellular processes,Proteoglycans,6.3183,5.645479125664468
202,HSPG2,ENSG00000142798.16,hsa:3339,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,6.3183,5.645479125664468
203,WNT4,ENSG00000162552.14,hsa:54361,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4883,1.2815959679096542
204,WNT4,ENSG00000162552.14,hsa:54361,0536,Genes and Proteins,Protein families: signaling and cellular processes,Glycosaminoglycan binding proteins,2.4883,1.2815959679096542
205,EPHA8,ENSG00000070886.10,hsa:2046,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.2815,-3.926255420501194
206,EPHA8,ENSG00000070886.10,hsa:2046,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.2815,-3.926255420501194
207,EPHA8,ENSG00000070886.10,hsa:2046,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,1.2815,-3.926255420501194
208,C1QA,ENSG00000173372.16,hsa:712,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.4456,6.720142359058054
209,C1QA,ENSG00000173372.16,hsa:712,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,5.4456,6.720142359058054
210,C1QC,ENSG00000159189.11,hsa:714,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.0609,6.5924432210244435
211,C1QC,ENSG00000159189.11,hsa:714,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,6.0609,6.5924432210244435
212,C1QB,ENSG00000173369.15,hsa:713,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.8612,6.8670779131956845
213,C1QB,ENSG00000173369.15,hsa:713,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,5.8612,6.8670779131956845
214,EPHB2,ENSG00000133216.16,hsa:2048,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.5271,1.2440386070970089
215,EPHB2,ENSG00000133216.16,hsa:2048,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.5271,1.2440386070970089
216,EPHB2,ENSG00000133216.16,hsa:2048,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,0.5271,1.2440386070970089
217,HTR1D,ENSG00000179546.4,hsa:3352,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.2447,-2.472206096792014
218,HTR1D,ENSG00000179546.4,hsa:3352,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-2.2447,-2.472206096792014
219,ZNF436,ENSG00000125945.14,hsa:80818,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.5553,3.7424388779648403
220,ZNF436,ENSG00000125945.14,hsa:80818,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,4.5553,3.7424388779648403
221,ASAP3,ENSG00000088280.18,hsa:55616,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.9065,4.185026461747177
222,ASAP3,ENSG00000088280.18,hsa:55616,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.9065,4.185026461747177
223,E2F2,ENSG00000007968.6,hsa:1870,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5238,0.582922939367688
224,E2F2,ENSG00000007968.6,hsa:1870,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.5238,0.582922939367688
225,ID3,ENSG00000117318.8,hsa:3399,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.5763,5.33609559674135
226,ID3,ENSG00000117318.8,hsa:3399,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,5.5763,5.33609559674135
227,GALE,ENSG00000117308.14,hsa:2582,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.9677,4.959262236868862
228,GALE,ENSG00000117308.14,hsa:2582,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.9677,4.959262236868862
229,FUCA1,ENSG00000179163.11,hsa:2517,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.8729,5.096278717446835
230,FUCA1,ENSG00000179163.11,hsa:2517,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,4.8729,5.096278717446835
231,FUCA1,ENSG00000179163.11,hsa:2517,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.8729,5.096278717446835
232,CNR2,ENSG00000188822.7,hsa:1269,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.035,-4.889410969095517
233,CNR2,ENSG00000188822.7,hsa:1269,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-4.035,-4.889410969095517
234,IL22RA1,ENSG00000142677.3,hsa:58985,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6019,-1.9012584881490584
235,IL22RA1,ENSG00000142677.3,hsa:58985,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,2.6019,-1.9012584881490584
236,IFNLR1,ENSG00000185436.11,hsa:163702,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.6643,0.5652734957457644
237,IFNLR1,ENSG00000185436.11,hsa:163702,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,-0.6643,0.5652734957457644
238,GRHL3,ENSG00000158055.15,hsa:57822,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.9942,0.1493632840122178
239,GRHL3,ENSG00000158055.15,hsa:57822,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-1.9942,0.1493632840122178
240,NIPAL3,ENSG00000001461.16,hsa:57185,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.0824,3.5645025523784404
241,NIPAL3,ENSG00000001461.16,hsa:57185,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,4.0824,3.5645025523784404
242,RCAN3,ENSG00000117602.11,hsa:11123,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.2915,3.112968522228305
243,CLIC4,ENSG00000169504.14,hsa:25932,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.5823,6.003274062882361
244,CLIC4,ENSG00000169504.14,hsa:25932,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,5.5823,6.003274062882361
245,CLIC4,ENSG00000169504.14,hsa:25932,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,5.5823,6.003274062882361
246,RUNX3,ENSG00000020633.18,hsa:864,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.6969,2.042414628573667
247,RUNX3,ENSG00000020633.18,hsa:864,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,0.6969,2.042414628573667
248,RHD,ENSG00000187010.18,hsa:6007,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.1779,-3.889691841955781
249,RHD,ENSG00000187010.18,hsa:6007,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,-2.1779,-3.889691841955781
250,RHD,ENSG00000187010.18,hsa:6007,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-2.1779,-3.889691841955781
251,RHCE,ENSG00000188672.16,hsa:6006,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4934,-0.13065952352199042
252,RHCE,ENSG00000188672.16,hsa:6006,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,2.4934,-0.13065952352199042
253,RHCE,ENSG00000188672.16,hsa:6006,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,2.4934,-0.13065952352199042
254,LDLRAP1,ENSG00000157978.11,hsa:26119,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.8228,4.141195655838908
255,LDLRAP1,ENSG00000157978.11,hsa:26119,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.8228,4.141195655838908
256,MAN1C1,ENSG00000117643.14,hsa:57134,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.3911,2.9432049537259743
257,MAN1C1,ENSG00000117643.14,hsa:57134,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,3.3911,2.9432049537259743
258,MAN1C1,ENSG00000117643.14,hsa:57134,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.3911,2.9432049537259743
259,AUNIP,ENSG00000127423.10,hsa:79000,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.0638,0.9104410158608153
260,AUNIP,ENSG00000127423.10,hsa:79000,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,2.0638,0.9104410158608153
261,STMN1,ENSG00000117632.20,hsa:3925,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.157,7.676596453608292
262,STMN1,ENSG00000117632.20,hsa:3925,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,8.157,7.676596453608292
263,EXTL1,ENSG00000158008.9,hsa:2134,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.3803,-0.5147976145427767
264,EXTL1,ENSG00000158008.9,hsa:2134,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.3803,-0.5147976145427767
265,EXTL1,ENSG00000158008.9,hsa:2134,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,5.3803,-0.5147976145427767
266,SLC30A2,ENSG00000158014.14,hsa:7780,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.1031,-2.1110577827939974
267,SLC30A2,ENSG00000158014.14,hsa:7780,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-0.1031,-2.1110577827939974
268,TRIM63,ENSG00000158022.6,hsa:84676,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.035,-3.9001318132223566
269,TRIM63,ENSG00000158022.6,hsa:84676,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,-4.035,-3.9001318132223566
270,TRIM63,ENSG00000158022.6,hsa:84676,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-4.035,-3.9001318132223566
271,CEP85,ENSG00000130695.13,hsa:64793,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.0396,3.07692111428187
272,CEP85,ENSG00000130695.13,hsa:64793,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,5.0396,3.07692111428187
273,CD52,ENSG00000169442.8,hsa:1043,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.9974,5.584982759222329
274,CD52,ENSG00000169442.8,hsa:1043,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,3.9974,5.584982759222329
275,CD52,ENSG00000169442.8,hsa:1043,0537,Genes and Proteins,Protein families: signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins,3.9974,5.584982759222329
276,SFN,ENSG00000175793.11,hsa:2810,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.6528,5.242110106934898
277,SFN,ENSG00000175793.11,hsa:2810,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,6.6528,5.242110106934898
278,NR0B2,ENSG00000131910.4,hsa:8431,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.3076,-7.71845989375156
279,NR0B2,ENSG00000131910.4,hsa:8431,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-3.3076,-7.71845989375156
280,NR0B2,ENSG00000131910.4,hsa:8431,3310,Genes and Proteins,Protein families: signaling and cellular processes,Nuclear receptors,-3.3076,-7.71845989375156
281,KDF1,ENSG00000175707.8,hsa:126695,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.437,3.7637090010804304
282,SYTL1,ENSG00000142765.17,hsa:84958,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.203,4.101298692324635
283,SYTL1,ENSG00000142765.17,hsa:84958,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,6.203,4.101298692324635
284,SYTL1,ENSG00000142765.17,hsa:84958,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,6.203,4.101298692324635
285,MAP3K6,ENSG00000142733.14,hsa:9064,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.9108,4.115940261340917
286,MAP3K6,ENSG00000142733.14,hsa:9064,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.9108,4.115940261340917
287,MAP3K6,ENSG00000142733.14,hsa:9064,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,4.9108,4.115940261340917
288,FCN3,ENSG00000142748.12,hsa:8547,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.1641,0.4628199669324292
289,FCN3,ENSG00000142748.12,hsa:8547,4091,Genes and Proteins,Protein families: signaling and cellular processes,Lectins,1.1641,0.4628199669324292
290,GPR3,ENSG00000181773.6,hsa:2827,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.3231,-1.406806119858711
291,GPR3,ENSG00000181773.6,hsa:2827,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,0.3231,-1.406806119858711
292,AHDC1,ENSG00000126705.13,hsa:27245,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.7269,2.83154734827877
293,AHDC1,ENSG00000126705.13,hsa:27245,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,4.7269,2.83154734827877
294,FGR,ENSG00000000938.12,hsa:2268,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.4704,2.079394994411195
295,FGR,ENSG00000000938.12,hsa:2268,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,1.4704,2.079394994411195
296,FGR,ENSG00000000938.12,hsa:2268,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.4704,2.079394994411195
297,FGR,ENSG00000000938.12,hsa:2268,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,1.4704,2.079394994411195
298,SMPDL3B,ENSG00000130768.14,hsa:27293,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.3931,3.263448122425816
299,SMPDL3B,ENSG00000130768.14,hsa:27293,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.3931,3.263448122425816
300,PTAFR,ENSG00000169403.11,hsa:5724,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.3791,2.1799574435158124
301,PTAFR,ENSG00000169403.11,hsa:5724,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,1.3791,2.1799574435158124
302,RCC1,ENSG00000180198.15,hsa:1104,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.5059,4.803768323490592
303,RCC1,ENSG00000180198.15,hsa:1104,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,5.5059,4.803768323490592
304,RCC1,ENSG00000180198.15,hsa:1104,3019,Genes and Proteins,Protein families: genetic information processing,Messenger RNA biogenesis,5.5059,4.803768323490592
305,RAB42,ENSG00000188060.6,hsa:115273,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.1447,1.530383296240329
306,RAB42,ENSG00000188060.6,hsa:115273,4031,Genes and Proteins,Protein families: signaling and cellular processes,GTP-binding proteins,1.1447,1.530383296240329
307,OPRD1,ENSG00000116329.10,hsa:4985,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.035,-3.164328016347339
308,OPRD1,ENSG00000116329.10,hsa:4985,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-4.035,-3.164328016347339
309,EPB41,ENSG00000159023.18,hsa:2035,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.9491,3.9778126884987115
310,EPB41,ENSG00000159023.18,hsa:2035,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,4.9491,3.9778126884987115
311,PTPRU,ENSG00000060656.19,hsa:10076,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.5088,3.2926222664019695
312,PTPRU,ENSG00000060656.19,hsa:10076,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.5088,3.2926222664019695
313,PTPRU,ENSG00000060656.19,hsa:10076,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,5.5088,3.2926222664019695
314,LAPTM5,ENSG00000162511.7,hsa:7805,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.079,6.682182261959709
315,SDC3,ENSG00000162512.15,hsa:9672,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.8229,4.66603738911534
316,SDC3,ENSG00000162512.15,hsa:9672,0535,Genes and Proteins,Protein families: signaling and cellular processes,Proteoglycans,6.8229,4.66603738911534
317,NKAIN1,ENSG00000084628.9,hsa:79570,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.6861,2.384995316754702
